id,name,variable,value,variable_n
E04004667,Hambledon (Winchester),Consumption of goods and services - Purchase of goods (t CO2e),1825.89,Purchase of goods (t CO2e)
E04004667,Hambledon (Winchester),Consumption of goods and services - Use of services (t CO2e),723.651,Use of services (t CO2e)
E04004667,Hambledon (Winchester),Consumption of goods and services - Other consumption related emissions (t CO2e),726.242,Other consumption related emissions (t CO2e)
E04004667,Hambledon (Winchester),Food and diet - Meat and fish (t CO2e),1036.311,Food and diet - Meat and fish (t CO2e)
E04004667,Hambledon (Winchester),Food and diet - Other food and drink (t CO2e),945.355,Food and diet - Other food and drink (t CO2e)
E04004667,Hambledon (Winchester),Housing - Mains gas (t CO2e),0,Housing - Mains gas (t CO2e)
E04004667,Hambledon (Winchester),Housing - Electricity (t CO2e),667.482,Housing - Electricity (t CO2e)
E04004667,Hambledon (Winchester),Housing - Oil (t CO2e),1946.438,Housing - Oil (t CO2e)
E04004667,Hambledon (Winchester),Housing - LPG (t CO2e),400.63,Housing - LPG (t CO2e)
E04004667,Hambledon (Winchester),Housing - Biomass (t CO2e),50.365,Housing - Biomass (t CO2e)
E04004667,Hambledon (Winchester),Housing - Coal (t CO2e),10.204,Housing - Coal (t CO2e)
E04004667,Hambledon (Winchester),Travel - Flights (t CO2e),1051.561,Travel - Flights (t CO2e)
E04004667,Hambledon (Winchester),Travel - Public transport (t CO2e),302.972,Travel - Public transport (t CO2e)
E04004667,Hambledon (Winchester),Travel - Private transport (t CO2e),1237.385,Travel - Private transport (t CO2e)
E04004667,Hambledon (Winchester),Waste - Waste (t CO2e),21.735,Waste - Waste (t CO2e)
